;atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;slug;apelido;apelido_abreviado;nome;foto;id_atleta;scout.A;scout.CA;scout.DS;scout.FC;scout.FD;scout.FF;scout.FS;scout.PI;scout.CV;scout.FT;scout.G;scout.I;scout.SG;scout.DE;scout.GS;scout.PC;scout.PP;scout.PS;scout.DP;scout.GC
85;95794;38;282;3;7;3.2;8.76;-0.09;3.99;33;nathan-silva;Nathan Silva;N. Silva;Nathanael Ananias da Silva;https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png;85;1.0;7.0;60.0;64.0;2.0;10.0;17.0;101.0;0.0;1.0;4.0;0.0;16.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0
86;98022;38;293;2;6;0.0;6.07;0.0;3.14;22;erick;Erick;Erick;Erick Luis Conrado de Carvalho;https://s.glbimg.com/es/sde/f/2021/05/02/f7ba547da42ad1121a2eba90fd53c8d1_FORMATO.png;86;1.0;4.0;52.0;26.0;2.0;16.0;9.0;65.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87;68911;38;284;5;7;20.3;14.24;1.79;3.45;26;diego-souza;Diego Souza;D. Souza;Diego Souza de Andrade;https://s.glbimg.com/es/sde/f/2021/04/29/a861c36a70f6c8c2ca8e65c0d0347c59_FORMATO.png;87;2.0;2.0;4.0;20.0;13.0;12.0;27.0;93.0;0.0;0.0;9.0;7.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
88;99440;38;373;4;7;5.1;5.6;-0.61;3.47;28;baralhas;Baralhas;Baralhas;Gabriel Baralhas dos Santos;https://s.glbimg.com/es/sde/f/2020/10/20/d1b6cda28d3190a8ba17446d082ac2ab_FORMATO.png;88;0.0;1.0;66.0;20.0;6.0;9.0;12.0;93.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
89;97133;38;373;2;5;0.0;10.09;0.0;2.97;26;dudu;Dudu;Dudu;Luís Eduardo Marques dos Santos;https://s.glbimg.com/es/sde/f/2021/05/02/50a832ba3c7d7359fc0d3676881a664d_FORMATO.png;89;1.0;1.0;46.0;25.0;0.0;3.0;12.0;225.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90;78850;38;276;2;7;-0.3;9.51;-0.2;3.05;28;reinaldo;Reinaldo;Reinaldo;Reinaldo Manoel da Silva;https://s.glbimg.com/es/sde/f/2021/05/01/c9612f3f19ae82c35496efdd0780b6fd_FORMATO.png;90;3.0;6.0;34.0;38.0;11.0;11.0;30.0;339.0;0.0;1.0;2.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;94514;38;373;3;7;2.9;4.34;0.12;2.42;17;oliveira;Oliveira;Oliveira;Lucas da Cruz Oliveira;https://s.glbimg.com/es/sde/f/2021/05/02/135684d8f54e04f107c4dbee2fe3eecf_FORMATO.png;91;0.0;2.0;16.0;11.0;0.0;4.0;3.0;81.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;80853;38;284;3;3;0.0;6.66;0.0;2.3;19;pedro-geromel;Pedro Geromel;P. Geromel;Pedro Tonon Geromel;https://s.glbimg.com/es/sde/f/2021/04/29/2911dfa228866bcf4526969aee375081_FORMATO.png;92;0.0;5.0;36.0;18.0;1.0;3.0;15.0;72.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93;102457;38;373;4;6;0.0;2.0;0.0;0.0;0;victor-paraiba;Victor Paraíba;V. Paraíba;Victor Wesley dos Santos da Silva;https://s.glbimg.com/es/sde/f/2021/03/11/c17129869e493ce5841b5c6952e02468_FORMATO.png;93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;87342;38;284;3;3;0.0;6.38;0.0;1.81;18;kannemann;Kannemann;Kannemann;Walter Kannemann;https://s.glbimg.com/es/sde/f/2021/04/29/aab069ddcc3f87f133a2d6ea07c4edd4_FORMATO.png;94;0.0;7.0;47.0;39.0;1.0;3.0;16.0;65.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
95;87262;38;373;4;7;-2.0;2.95;-0.5;0.9;29;willian-maranhao;Willian Maranhão;W. Maranhão;Willian Marlon Ferreira Moraes;https://s.glbimg.com/es/sde/f/2021/04/20/7802b9a67210b6a080f55e10ecd1ece2_FORMATO.png;95;0.0;10.0;64.0;45.0;1.0;6.0;17.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96;78497;38;373;2;7;9.8;8.76;-0.24;4.08;25;arnaldo;Arnaldo;Arnaldo;Arnaldo Manoel de Almeida;https://s.glbimg.com/es/sde/f/2021/04/20/68583d9f6526dc5e16f83f4594490532_FORMATO.png;96;3.0;3.0;44.0;20.0;2.0;2.0;15.0;97.0;0.0;1.0;0.0;2.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;81031;38;327;6;7;8.38;8.23;0.57;3.35;36;marquinhos-santos;Marquinhos Santos;M. Santos;Marcos Vinícius dos Santos Gonçalves;https://s.glbimg.com/es/sde/f/2021/04/27/c6a602f75c94ff12016d132e9eb3d8b5_FORMATO.png;97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;98057;38;354;6;7;3.63;6.69;-0.31;3.5;25;tiago-nunes;Tiago Nunes;T. Nunes;Tiago Retzlaff Nunes;https://s.glbimg.com/es/sde/f/2021/04/27/70e7cf2c054ba954f48fe011e8e8284e_FORMATO.png;98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99;86770;38;373;4;5;0.0;9.53;0.0;2.95;23;joao-paulo;João Paulo;J. Paulo;João Paulo da Silva Alves;https://s.glbimg.com/es/sde/f/2021/03/25/59b7c245e7c4a105eb30a26db415cc12_FORMATO.png;99;1.0;5.0;26.0;25.0;6.0;17.0;47.0;166.0;0.0;1.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;106826;38;1371;5;6;0.0;4.09;0.0;2.04;11;danilo-gomes;Danilo Gomes;D. Gomes;Danilo Gomes Magalhães;https://s.glbimg.com/es/sde/f/2021/06/09/03333c0f9eb3639c4abf5c20817a1aa4_FORMATO.png;100;0.0;1.0;17.0;5.0;2.0;5.0;17.0;35.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
