atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;minimo_para_valorizar;media_pontos_mandante;media_pontos_visitante;media_minutos_jogados;minutos_jogados;apelido;nome;foto;scout.G;scout.A;scout.FT;scout.FD;scout.FF;scout.FS;scout.PS;scout.DP;scout.SG;scout.DE;scout.DS;scout.PP;scout.I;scout.PI;scout.CA;scout.GS;scout.FC;scout.PC;scout.GC;scout.CV;year
68708;38;263;4;6;0.0;9.85;0.0;4.95;14;8.68;4.09;6.1;80.0;0.0;Eduardo;Carlos Eduardo de Oliveira Alves;https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png;3;1;2;1;12;28;0;0;0;0;21;0;0;64;3;0;21;0;0;0;2022
84993;38;356;4;6;0.0;2.7;0.0;0.78;5;1.97;0.55;0.93;11.0;0.0;Fabrício Baiano;Fabrício Santos de Jesus;https://s.glbimg.com/es/sde/f/2022/07/16/89176758f659f2237119a0bced3a49fb_FORMATO.png;0;0;0;0;0;1;0;0;0;0;4;0;0;11;0;0;1;0;0;0;2022
109461;38;282;4;6;0.0;2.01;0.0;1.29;13;0.26;0.89;1.77;24.0;9.0;Calebe;Calebe Gonçalves Ferreira da Silva;https://s.glbimg.com/es/sde/f/2022/07/15/e69dad49448e6f72e73ce364b1459be9_FORMATO.png;0;0;0;2;1;11;0;0;0;0;10;0;0;17;1;0;4;0;0;0;2022
69375;38;262;4;6;0.0;11.88;0.0;3.66;14;2.81;5.03;2.31;46.0;0.0;Vidal;Arturo Erasmo Vidal Pardo;https://s.sde.globo.com/media/person_role/2022/07/16/6f4d9def1a21eebe3b6c5ac66a060ec9_FORMATO.png;2;1;0;2;6;9;0;0;0;0;27;0;0;53;2;0;18;1;0;0;2022
118675;38;290;3;6;0.0;1.0;0.0;0.0;0;0.8;;;;;Luis Miguel;Luis Miguel da Silva Lorena;https://s.glbimg.com/es/sde/f/2022/07/09/4d7dea354b7fd2c8315036e86e8c074d_FORMATO.jpeg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
91908;38;282;5;6;-0.1;6.49;-0.26;1.65;17;2.35;1.88;1.6;39.0;12.0;Pavón;Cristian David Pavón;https://s.glbimg.com/es/sde/f/2022/07/15/dc45dda3afb1f994bcfebc84fa0785de_FORMATO.png;1;0;0;4;11;7;0;0;0;0;13;0;1;73;2;0;11;0;0;0;2022
78715;38;264;4;7;0.7;4.31;-0.22;1.7;12;2.36;1.53;2.1;36.0;51.0;Ramiro;Ramiro Moschen Benetti;https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png;0;1;0;3;0;5;1;0;0;0;15;0;2;41;3;0;8;0;0;0;2022
101666;38;373;4;6;2.3;3.44;0.01;1.06;7;1.74;;;34.0;11.0;Rhaldney;Rhaldney Norberto Simião Gomes;https://s.sde.globo.com/media/person_role/2022/09/16/photo_FORMATO_qqr85qd.png;0;0;0;0;2;2;0;0;0;0;7;0;0;11;1;0;5;0;0;0;2022
118736;38;262;1;6;0.0;1.0;0.0;0.0;0;0.8;;;0.0;0.0;Kauã Santtos;Kauã Morais Vieira dos Santtos;https://s.sde.globo.com/media/person_role/2022/07/19/504df3f714d9ba1f29f1a357fb01ddc8_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
98251;38;373;5;6;0.0;4.57;-0.06;1.88;11;0.53;0.72;3.44;34.0;22.0;Kelvin;Kelvin Giacobe Alves dos Santos;https://s.glbimg.com/es/sde/f/2022/07/19/ad9bab22306fa3b866f13c27580c6b6e_FORMATO.png;1;0;0;7;4;4;0;0;0;0;2;0;1;31;0;0;0;0;0;0;2022
105912;38;290;4;6;0.0;2.0;0.0;0.0;0;1.57;;;0.0;0.0;Marco Antônio;Marco Antônio de Oliveira Coelho;https://s.glbimg.com/es/sde/f/2022/07/30/6a5f67ded7e6d2500315b6eaa2e2ce79_FORMATO.jpeg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
118563;38;276;4;6;0.0;1.19;0.0;1.07;3;1.21;;;27.0;27.0;Rodriguinho;Rodrigo Huendra Almeida Mendonça;https://s.glbimg.com/es/sde/f/2022/07/03/2c39fe8401bb55ea80a9a5bf0fde08ef_FORMATO.png;0;0;0;1;1;1;0;0;0;0;1;0;0;5;0;0;0;0;0;0;2022
106829;38;276;2;6;0.0;1.78;0.0;0.7;1;1.57;;;28.0;28.0;Patryck;Patryck Lanza dos Reis;https://s.glbimg.com/es/sde/f/2022/03/01/73a6760a1b2c4cc7fc70ee0323e11b73_FORMATO.png;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;2022
91473;38;262;4;6;0.0;5.1;0.0;0.34;5;-1.25;1.85;-0.67;38.0;97.0;Erick Pulgar;Erick Antonio Pulgar Farfán;https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/07/29/c044299d78026585334fdecd617663c2_FORMATO.png;0;0;0;0;1;2;0;0;0;0;4;0;0;25;0;0;8;0;0;0;2022
107852;38;276;1;6;0.0;1.0;0.0;0.0;0;0.8;;;0.0;0.0;Rokenedy ;Rokenedy dos Santos;https://s.glbimg.com/es/sde/f/2022/08/02/204aa3e9b46ac66fbd0d108a400249ce_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
70449;38;294;1;7;10.0;7.45;1.98;4.71;12;-1.14;4.0;4.5;72.0;101.0;Gabriel;Gabriel Vasconcelos Ferreira;https://s.glbimg.com/es/sde/f/2022/07/12/3c4ca01b234ad722ed92a5df218fd329_FORMATO.png;0;0;0;0;0;1;0;2;4;41;0;0;0;0;2;16;0;1;0;0;2022
118774;38;266;4;7;-0.6;0.84;-0.28;1.73;3;1.08;2.9;0.0;47.0;94.0;Alexsander;Alexsander Christian Gomes da Costa;https://s.sde.globo.com/media/person_role/2022/08/01/1333c379f1cc72c06a03cd6e6a9210be_FORMATO.png;0;0;0;1;0;3;0;0;0;0;4;0;0;20;0;0;1;0;0;0;2022
104625;38;285;2;6;0.0;3.98;0.0;1.3;1;1.56;1.3;0.0;51.0;51.0;Weverton;Weverton Guilherme da Silva Souza;https://s.glbimg.com/es/sde/f/2022/08/05/493b9f83c42d9d2242ddfa8ce518d07d_FORMATO.png;0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;0;0;0;2022
86764;38;1371;2;6;0.0;4.12;-0.58;2.59;7;1.32;;;58.0;21.0;Sidcley;Sidcley Ferreira Pereira;https://s.glbimg.com/es/sde/f/2022/08/04/f1b96cd2e1a5c62c2aec694945991675_FORMATO.png;1;0;0;0;1;2;0;0;1;0;5;0;0;27;0;0;0;0;0;0;2022
101997;38;285;5;6;8.0;6.09;1.11;2.08;16;1.8;1.31;2.03;21.0;0.0;Braian Romero;Braian Ezequiel Romero;https://s.glbimg.com/es/sde/f/2022/07/29/d2bcddb0a2e0d7cc5c363b5a72f8c39d_FORMATO.png;2;0;0;3;6;8;0;0;0;0;8;0;1;11;1;0;8;0;0;0;2022
38225;38;314;5;6;0.0;8.36;0.0;2.92;25;1.06;4.26;1.21;53.0;3.0;Muriqui;Luiz Guilherme da Conceição Silva;https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png;4;1;1;1;11;28;1;0;0;0;19;0;6;80;2;0;14;0;0;0;2022
102299;38;285;5;6;0.0;6.0;0.0;0.0;0;4.65;;;0.0;0.0;Mikael;Mikael Filipe Viana;https://s.glbimg.com/es/sde/f/2022/07/28/db7bd8471d05f588d15b51c836794a5a_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
86972;38;373;3;5;0.0;4.0;0.0;0.0;0;3.11;;;0.0;0.0;Emerson Santos;Emerson Raymundo Santos;https://s.glbimg.com/es/sde/f/2022/07/28/5ddfe529ef61fe54a0aa6410f1a57699_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
68827;38;286;3;5;0.0;3.2;0.0;1.45;2;1.46;;;87.0;77.0;Renato Chaves;Renato de Araújo Chaves Júnior;https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png;0;0;0;2;0;0;0;0;0;0;1;0;0;4;0;0;1;0;0;0;2022
106159;38;1371;2;6;0.0;2.0;0.0;0.0;0;1.57;;;0.0;0.0;Alexandre Melo;Alexandre Melo Ribeiro da Silva;https://s.glbimg.com/es/sde/f/2021/05/28/47904876bb82a940b74259ffd4608337_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
87691;38;286;4;5;0.0;3.71;0.0;1.95;2;2.92;;;38.0;27.0;Anderson Leite;Anderson Leite Moraes;https://s.glbimg.com/es/sde/f/2022/07/29/30173d69a7048132aa419f0efded3f32_FORMATO.png;0;0;0;0;0;1;0;0;0;0;4;0;0;5;0;0;3;0;0;0;2022
91815;38;286;3;6;0.0;4.31;0.0;3.66;5;4.4;;;97.0;95.0;Nogueira;Ygor Nogueira de Paula;https://s.glbimg.com/es/sde/f/2022/07/29/6f0ab61eb04b91270a61c76d74446616_FORMATO.png;0;0;0;1;0;3;0;0;0;0;17;0;0;22;1;0;2;1;0;0;2022
118758;38;277;3;6;0.0;1.0;0.0;0.0;0;0.8;;;;;Jair Cunha;Jair Paula da Cunha Filho;https://s.glbimg.com/es/sde/f/2022/07/27/c0ca21ce2942942d0bf68a74cc8d121e_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
107945;38;276;5;6;1.2;5.61;0.07;2.26;8;0.28;1.3;2.86;28.0;0.0;Nahuel Bustos;Nahuel Lautaro Bustos;https://s.sde.globo.com/media/person_role/2022/09/16/photo_FORMATO_cpV2OBA.png;1;0;0;1;4;7;0;0;0;0;5;0;2;15;0;0;7;0;0;0;2022
104383;38;282;1;6;0.0;2.0;0.0;0.0;0;1.57;;;0.0;0.0;Matheus Mendes;Matheus Mendes Werneck de Oliveira;https://s.glbimg.com/es/sde/f/2022/07/15/c9abfa6a774d0cdbedb60b4f5d385524_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
111813;38;373;5;6;0.0;1.82;0.0;0.32;6;0.43;;;42.0;15.0;Ricardinho;Ricardo Viana Filho;https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/08/24/photo_FORMATO.png;0;0;0;2;3;3;0;0;0;0;0;0;2;10;2;0;4;0;0;0;2022
82540;38;286;1;7;1.0;5.33;-0.48;2.15;13;2.97;1.42;3.08;85.0;0.0;Pegorari;José Guilherme Guidolin Pegorari;https://s.glbimg.com/es/sde/f/2022/08/05/519f094ee4ceaabd76b534c7a1728c63_FORMATO.png;0;0;0;0;0;2;0;1;0;51;0;0;0;0;3;28;0;0;0;0;2022
101155;38;290;3;6;0.0;5.32;0.0;5.5;4;1.25;5.6;5.47;39.0;0.0;Danilo Cardoso;Danilo Cardoso Novais da Silva;https://s.glbimg.com/es/sde/f/2022/08/02/c396b10bc3e37dd7731bf8715e8279e0_FORMATO.png;1;0;0;1;1;1;0;0;2;0;2;0;0;3;0;0;2;0;0;0;2022
116013;38;262;4;6;0.0;0.78;0.0;0.37;3;0.22;0.0;0.55;10.0;0.0;Igor Jesus;Igor Jesus Lima;https://s.glbimg.com/es/sde/f/2022/03/04/80531a65a2f26cf1f02f11efccb065e5_FORMATO.png;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2022
85465;38;293;4;7;5.1;6.67;0.85;3.0;13;1.03;5.47;1.49;51.0;36.0;Alex Santana;Alex Paulo Menezes Santana;https://s.glbimg.com/es/sde/f/2022/07/29/9bcc147b812ef5698e82fee8e3a18b98_FORMATO.png;2;0;0;3;11;10;0;0;0;0;15;0;1;30;4;0;18;0;0;0;2022
85425;38;277;1;7;2.0;12.63;0.11;3.94;35;2.33;4.57;3.31;89.0;92.0;João Paulo;João Paulo Silva Martins;https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png;0;0;0;0;0;6;0;0;10;125;1;0;0;0;5;37;0;0;0;0;2022
98225;38;290;5;6;0.0;11.23;0.0;6.47;33;2.51;5.49;7.28;78.0;82.0;Pedro Raul;Pedro Raul Garay da Silva;https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/03/10/5215be2746c5556d28458274ecbe4b16_FORMATO.png;19;2;1;23;34;31;0;0;0;0;14;0;19;148;8;0;47;0;0;0;2022
39148;38;282;5;5;0.0;18.99;0.0;7.0;25;5.19;;;89.0;80.0;Hulk;Givanildo Vieira de Souza;https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png;12;2;4;17;35;59;0;0;0;0;11;0;15;169;5;0;35;0;0;0;2022
94509;38;275;4;5;0.0;14.0;0.0;4.75;18;4.53;;;70.0;65.0;Raphael Veiga;Raphael Cavalcante Veiga;https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png;3;3;1;9;13;29;0;0;0;0;22;1;4;82;1;0;16;0;0;0;2022
102130;38;275;2;6;0.0;9.09;0.0;5.87;24;4.96;6.81;4.54;82.0;0.0;Piquerez;Joaquín Piquerez Moreira;https://s.sde.globo.com/media/person_role/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png;0;2;0;5;11;19;0;0;13;0;57;0;0;163;4;0;19;1;0;0;2022
83257;38;262;5;6;0.0;10.79;0.0;4.34;26;4.39;;;75.0;96.0;Gabriel;Gabriel Barbosa Almeida;https://s.sde.globo.com/media/person_role/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png;11;1;3;13;18;16;1;0;0;0;6;2;15;114;8;0;10;0;0;1;2022
88423;38;280;2;7;0.5;7.64;-0.05;3.21;30;0.58;3.27;3.32;83.0;0.0;Aderlan;Aderlan de Lima Silva;https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png;0;2;0;2;9;15;0;0;7;0;83;0;4;325;10;0;76;0;0;0;2022
42234;38;264;1;7;5.0;11.82;0.76;4.8;31;1.37;6.18;2.98;87.0;101.0;Cássio;Cássio Roberto Ramos;https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png;0;0;0;0;0;5;0;0;13;107;1;0;0;0;2;25;0;0;0;0;2022
74061;38;263;1;6;0.0;7.84;0.0;3.36;32;5.54;2.85;3.97;89.0;0.0;Gatito Fernández;Roberto Junior Fernández Torres;https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png;0;0;0;0;0;6;0;1;9;91;0;0;0;0;1;37;0;0;0;0;2022
37656;38;266;1;7;9.5;11.21;0.63;3.64;37;6.37;3.32;3.65;92.0;94.0;Fábio;Fábio Deivson Lopes Maciel;https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png;0;0;0;0;0;5;0;0;13;110;0;0;0;0;2;41;0;0;0;0;2022
85004;38;266;1;6;0.0;7.0;0.0;0.0;0;5.42;;;0.0;0.0;Marcos Felipe;Marcos Felipe de Freitas Monteiro;https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
96468;38;285;1;6;0.0;8.64;0.0;4.13;22;6.33;;;98.0;99.0;Daniel;Daniel de Sousa Brito;https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png;0;0;0;0;0;5;0;0;9;67;1;0;0;0;4;21;0;0;0;0;2022
72372;38;276;1;7;7.0;7.46;0.67;5.27;15;2.89;4.57;5.71;77.0;0.0;Felipe Alves;Felipe Alves Raymundo;https://s.glbimg.com/es/sde/f/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png;0;0;0;0;0;0;0;2;5;56;0;0;0;0;1;14;0;1;0;0;2022
93882;38;280;1;7;2.0;8.72;-0.84;2.67;35;7.56;2.44;2.95;89.0;90.0;Cleiton;Cleiton Schwengber;https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png;0;0;0;0;0;11;0;1;7;108;1;0;0;0;3;55;0;2;1;0;2022
88916;38;356;1;6;0.0;5.03;0.0;2.25;2;4.24;;;97.0;94.0;Luan Polli;Luan Polli Gomes;https://s.glbimg.com/es/sde/f/2022/07/29/8a9128472f54ae0e854e5a35d456eb76_FORMATO.png;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;5;0;0;0;0;2022
69012;38;262;1;6;0.0;10.33;0.0;4.55;19;7.98;;;97.0;100.0;Santos;Aderbar Melo dos Santos Neto;https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png;0;0;0;0;0;2;0;0;8;59;1;0;0;0;1;14;0;0;0;0;2022
38144;38;276;2;7;5.7;8.74;0.7;2.74;30;1.55;3.17;2.1;76.0;0.0;Rafinha;Márcio Rafael Ferreira de Souza;https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png;0;3;0;0;2;20;0;0;6;0;51;0;0;185;6;0;29;0;0;1;2022
82453;38;290;1;7;-1.0;7.97;-0.5;4.05;37;2.68;4.22;4.16;90.0;94.0;Tadeu;Tadeu Antônio Ferreira;https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png;0;0;0;0;0;11;0;1;7;154;1;0;0;0;0;53;0;0;0;0;2022
