atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;minimo_para_valorizar;media_pontos_mandante;media_pontos_visitante;media_minutos_jogados;minutos_jogados;apelido;nome;foto;scout.G;scout.A;scout.FT;scout.FD;scout.FF;scout.FS;scout.PS;scout.DP;scout.SG;scout.DE;scout.DS;scout.PP;scout.I;scout.PI;scout.CA;scout.GS;scout.FC;scout.PC;scout.GC;scout.CV;year
37281;38;264;6;7;8.28;11.7;0.97;4.88;27;2.74;;;;;Mano Menezes;Luis Antônio Venker de Menezes;https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
38402;38;266;2;7;2.1;12.29;-0.4;5.14;18;4.88;5.41;5.1;71.0;0.0;Marcelo;Marcelo Vieira da Silva Júnior;https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png;1;1;0;6;14;25;0;0;5;0;24;0;1;0;3;0;7;0;0;0;2023
38398;38;264;4;6;0.0;11.4;0.0;3.11;21;1.92;;;;;Renato Augusto;Renato Soares de Oliveira Augusto;https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png;1;3;0;9;7;19;0;0;0;0;16;0;2;0;0;0;9;0;0;0;2023
37245;38;294;6;7;2.11;3.37;-0.02;2.28;2;2.22;;;;;Guto Ferreira;Augusto Sérgio Ferreira;https://s.sde.globo.com/media/person_role/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
37656;38;266;1;7;-1.0;11.06;-0.65;3.6;34;3.43;;;;;Fábio;Fábio Deivson Lopes Maciel;https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png;0;0;0;0;0;2;0;0;11;110;0;0;0;0;3;41;0;0;0;0;2023
38144;38;276;2;6;0.0;7.03;0.0;3.59;24;2.84;;;;;Rafinha;Márcio Rafael Ferreira de Souza;https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png;0;1;1;1;1;21;0;0;9;0;35;0;0;0;8;0;21;1;1;1;2023
38877;38;282;2;7;2.4;6.14;0.21;3.55;22;1.31;;;;;Mariano;Mariano Ferreira Filho;https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png;0;1;0;1;0;4;0;0;8;0;37;0;0;0;5;0;28;1;0;0;2023
39148;38;282;5;7;4.6;19.14;-1.49;9.38;34;12.94;;;;;Hulk;Givanildo Vieira de Souza;https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png;15;11;3;35;51;119;2;0;0;0;19;0;21;0;8;0;53;0;0;2;2023
38394;38;293;3;3;0.0;7.35;0.0;2.84;31;4.53;;;;;Thiago Heleno;Thiago Heleno Henrique Ferreira;https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png;0;0;1;3;7;19;0;0;8;0;38;0;2;0;8;0;35;1;0;0;2023
36943;38;283;6;7;4.02;11.53;-0.09;5.36;4;4.94;;;;;Paulo Autuori;Paulo César Autuori de Mello;https://s.sde.globo.com/media/person_role/2023/11/14/photo_FORMATO_9LUyoUG.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
38750;38;262;2;6;0.0;5.95;0.0;4.01;10;3.2;;;;;Filipe Luís;Filipe Luís Kasmirski;https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png;0;1;0;0;1;8;0;0;4;0;13;0;1;0;3;0;4;1;0;0;2023
40990;38;276;6;7;8.61;12.48;0.79;5.15;35;4.05;;;;;Dorival Júnior;Dorival Silvestre Júnior;https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
41929;38;284;6;7;6.09;13.53;-0.16;5.3;37;7.04;;;;;Renato Gaúcho;Renato Portaluppi;https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
110668;38;293;2;6;0.0;5.22;0.0;3.63;18;6.36;;;;;Esquivel;Lucas Ángel Esquivel;https://s.sde.globo.com/media/person_role/2023/05/31/photo_FORMATO_DlnAHYU.png;0;1;0;3;2;26;0;0;4;0;27;0;0;0;3;0;21;1;0;0;2023
42234;38;264;1;6;0.0;7.94;0.0;3.85;34;-0.12;;;;;Cássio;Cássio Roberto Ramos;https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png;0;0;0;0;0;5;0;0;9;123;0;0;0;0;2;37;0;1;0;0;2023
45125;38;262;6;7;2.41;11.93;-0.46;5.86;11;4.87;;;;;Tite;Adenor Leonardo Bachi;https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
38229;38;264;2;6;0.0;4.66;0.0;3.41;22;0.1;;;;;Fábio Santos;Fábio Santos Romeu;https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png;3;1;0;0;1;25;0;0;6;0;15;1;0;0;6;0;18;0;0;0;2023
39656;38;282;4;6;0.0;3.18;-0.37;1.24;18;2.35;1.43;1.12;53.0;23.0;Alan Franco;Alan Steven Franco Palma;https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png;0;0;1;1;1;3;0;0;0;0;22;0;0;0;2;0;30;0;0;0;2023
43618;38;282;6;7;2.82;11.68;-0.44;5.62;28;5.41;;;;;Luiz Felipe Scolari;Luiz Felipe Scolari;https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023
42500;38;264;2;7;6.8;8.54;1.02;3.72;27;1.03;;;;;Fagner;Fagner Conserva Lemos;https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png;0;1;1;1;4;37;0;0;9;0;34;0;0;0;10;0;22;0;0;0;2023
