match_id;turn;home_id;visitor_id;date;timestamp;local;valid;home_goal;visitor_goal;year
302573;1;275;1371;2023-04-15 16:00:00;1681585200;Allianz Parque;True;2;1;2023
302580;1;327;266;2023-04-15 16:00:00;1681585200;Independência;True;0;3;2023
302572;1;263;276;2023-04-15 18:30:00;1681594200;Nilton Santos (Engenhão);True;2;1;2023
302575;1;280;265;2023-04-15 18:30:00;1681594200;Nabi Abi Chedid;True;2;1;2023
302578;1;293;290;2023-04-15 18:30:00;1681594200;Arena da Baixada;True;2;0;2023
302579;1;356;285;2023-04-15 18:30:00;1681594200;Castelão (CE);True;1;1;2023
302576;1;282;267;2023-04-15 21:00:00;1681603200;Mineirão;True;1;2;2023
302571;1;262;294;2023-04-16 16:00:00;1681671600;Maracanã;True;3;0;2023
302574;1;264;283;2023-04-16 16:00:00;1681671600;Neo Química Arena;True;2;1;2023
302577;1;284;277;2023-04-16 18:30:00;1681680600;Alfredo Jaconi;True;1;0;2023
302591;2;266;293;2023-04-22 16:00:00;1682190000;Maracanã;True;2;0;2023
302593;2;276;327;2023-04-22 18:30:00;1682199000;Morumbi;True;3;0;2023
302600;2;1371;280;2023-04-22 18:30:00;1682199000;Arena Pantanal;True;1;1;2023
302596;2;283;284;2023-04-22 21:00:00;1682208000;Independência;True;1;0;2023
302597;2;285;262;2023-04-23 11:00:00;1682258400;Beira-Rio;True;2;1;2023
302592;2;267;275;2023-04-23 16:00:00;1682276400;Maracanã;True;2;2;2023
302594;2;277;282;2023-04-23 16:00:00;1682276400;Vila Belmiro;True;0;0;2023
302598;2;294;356;2023-04-23 18:30:00;1682285400;Couto Pereira;True;0;3;2023
302595;2;290;264;2023-04-23 19:00:00;1682287200;Hailé Pinheiro (Serrinha);True;3;1;2023
302599;2;265;263;2023-04-24 20:00:00;1682377200;Itaipava Arena Fonte Nova;True;1;2;2023
302618;3;294;276;2023-04-29 16:30:00;1682796600;Couto Pereira;True;1;1;2023
302619;3;356;266;2023-04-29 16:30:00;1682796600;Castelão (CE);True;4;2;2023
302613;3;275;264;2023-04-29 18:30:00;1682803800;Allianz Parque;True;2;1;2023
302614;3;277;327;2023-04-29 18:30:00;1682803800;Vila Belmiro;True;3;2;2023
